,q,ch,a,answer_mcq,score
0,1. Pasar uang merupakan pertemuan antara permintaan dan penawaran kredit  ,"a.Jangka pendek
b.Jangka menengah
c.Jangka Panjang
d. jangka sedang
e.jangka tidak pasti",Jawaban : A ,Pasar uang merupakan pertemuan antara permintaan dan penawaran kredit dalam jangka pendek.,1
1,"2. Selain Bursa Efek Jakarta, Indonesia pernah mempunyai bursa efek di  ","a.Medan
b.Semarang
c.Surabaya 
d.Bandung
e. Makassar",Jawaban : C ,"Berikut adalah jawaban atas pertanyaan Anda:

Indonesia pernah memiliki bursa efek di beberapa kota, termasuk:
a. Medan
b. Semarang
c. Surabaya
d. Bandung
e. Makassar

Informasi ini didasarkan pada PERATURAN OTORITAS JASA KEUANGAN REPUBLIK INDONESIA NOMOR 3/POJK.04/2021 TENTANG PENYELENGGARAAN KEGIATAN DI BIDANG PASAR MODAL, BAB II BURSA EFEK, Pasal 12 yang menyatakan bahwa Bursa Efek dapat menetapkan lebih dari satu jenis pasar dalam Transaksi Bursa yang dikelola dan diawasi oleh Bursa Efek.

Mohon maaf, sepertinya database saya saat ini tidak memiliki informasi yang cukup untuk menjawab pertanyaan Anda.",0
2,3. Di Bursa Efek diberlakukan system perdagangan otomatis yang dikenal dengan nama: ,"a.The Jakarta Automated Trading System
b.capital market
c.Automated Teller Machine
d.capital gain
e.Invesment Company",Jawaban : A ,"Mohon maaf, sepertinya database saya saat ini tidak memiliki informasi yang cukup untuk menjawab pertanyaan Anda.",0
3,4. Surat tanda penyertaan atau kepemilikan seseorang dan atau badan usaha dalam suatu perusahaan dIsebut  ,"a.Saham 
b.Obligasi 
c.Right 
d.Warrant
e.reksa dana ",Jawaban: A ,"Mohon maaf, sepertinya database saya saat ini tidak memiliki informasi yang cukup untuk menjawab pertanyaan Anda.",0
4,5. Surat yang berharga yang memberikan hak bagi pemodal untuk membeli saham baru yang dikeluarkan emiten adalah  ,"a.Saham
b.Obligas
c.Right 
d.Warrant
e. reksa dana",Jawaban : C ,"Jawaban:

Mohon maaf, sepertinya database saya saat ini tidak memiliki informasi yang cukup untuk menjawab pertanyaan Anda.",0
5,9. Berikut ini yang bukan pelaku di pasar modal . ,"a.Emiten 
b.Perusahaan efek 
c.Reksadana 
d.BUMN
e.perusahaan publik",Jawaban : D ,Pelaku di pasar modal yang bukan termasuk dalam daftar yang diberikan adalah d. BUMN. BUMN (Badan Usaha Milik Negara) bukan termasuk dalam pelaku di pasar modal.,1
6,10. Lembaga yang bertugas melaksanakan penilaian saham atau obligasi yang beredar adalah ,"a. Perusahaan Efek
b.Pemeringkat Efek
c.Biro Administrasi Efek
d.Bursa Efek
e.Kustodian ",Jawaban : B ,"Peraturan Otoritas Jasa Keuangan Republik Indonesia Nomor 34/POJK.03/2018 tentang Penilaian Kembali Bagi Pihak Utama Lembaga Jasa Keuangan tidak mengatur mengenai lembaga yang bertugas melaksanakan penilaian saham atau obligasi yang beredar. Oleh karena itu, tidak ada lembaga yang secara khusus ditugaskan untuk melakukan penilaian saham atau obligasi yang beredar dalam peraturan tersebut.",0
7,"11. Berikut ini merupakan manfaat bursa efek, kecuali  ","a. Untuk memperoleh bunga yang tinggi 
b. Untuk memperoleh modal dari luar sector perbankan 
c. Agar masyarakat umum dapat keuntungan perusahaan melalui kepemilikan saham 
d. Untuk melakukan ekspansi perusahaan 
e. Meningkatkan produktivitas perusahaan ",Jawaban : A ,"Jawaban:

Manfaat bursa efek adalah agar masyarakat umum dapat keuntungan perusahaan melalui kepemilikan saham. Oleh karena itu, pilihan yang tepat adalah opsi c. Agar masyarakat umum dapat keuntungan perusahaan melalui kepemilikan saham.",0
8,12. Surat bukti penyertaan modal dinamakan  ,"a.Emiten
b.Saham
c.Penyertaan
d.Investasi
e.sertifikat",Jawaban: B ,"Mohon maaf, sepertinya database saya saat ini tidak memiliki informasi yang cukup untuk menjawab pertanyaan Anda.",0
9,13. Salah satu fungsi Bapepam adalah  ,"a.Melakukan pemeriksaan atas laporan keuangan bagi perusahaan yang akan masuk ke bursa efek 
b.Menjamin emisi efek bagi perusahaan yang ingin menjual saham 
c.Sebagai agen (perantara) perdagangan efek 
d.Mengadakan pembinaan dan pengawasan terhadap bursa efek yang dikelola swasta 
e.Meningkatkan partisipasi mayarakat dalam pengumpulan dana di bursa efek ",Jawaban : D ,"Jawaban: d. Mengadakan pembinaan dan pengawasan terhadap bursa efek yang dikelola swasta

Penjelasan:
Salah satu fungsi Bapepam (Badan Pengawas Pasar Modal) adalah mengadakan pembinaan dan pengawasan terhadap bursa efek yang dikelola swasta. Hal ini diatur dalam Undang-Undang No.8 Tahun 1995 Pasal 3 huruf d.",1
10,15. Pasar uang merupakan pertemuan antara permintaan dan penawaran kredit  ,"a.Jangka pendek 
b.Jangka menengah
c. Jangka Panjang
d.jangka sedang
e.jangka tidak pasti",Jawaban : A ,"Mohon maaf, sepertinya database saya saat ini tidak memiliki informasi yang cukup untuk menjawab pertanyaan Anda.",0
11,16. Salah satu peran pasar modal adalah ,"a. Membiayai pembangunan
b. Sebagai indikator perkembangan ekonomi suatu negara
c. Menutupi defisit APBN
d. Salah satu sumber penerimaan pemerintah
e. Harga saham stabil",Jawaban : A ,"Jawaban: a. Membiayai pembangunan

Salah satu peran pasar modal adalah membiayai pembangunan. Hal ini sesuai dengan penjelasan umum yang diberikan dalam konteks bahwa pasar modal menjadi salah satu alternatif sumber pendanaan bagi Emiten untuk mengembangkan bisnis dalam jangka panjang. Pasar modal mempertemukan antara Emiten sebagai Pihak yang membutuhkan dana dengan pemodal sebagai pemilik dana.",1
12,17. Peranan Bank dalam perdagangan efek adalah sebagai ... ,"a. Perantara perdagangan efek
b. Penjual efek secara langsung di bursa
c. Penjamin emisi
d. Pembeli efek
e. Penyandang dana",Jawaban : E ,"Peraturan Otoritas Jasa Keuangan Republik Indonesia Nomor 41/POJK.04/2020 tentang Pelaksanaan Kegiatan Penawaran Umum Efek Bersifat Ekuitas, Efek Bersifat Utang, dan/atau Sukuk Secara Elektronik tidak menyebutkan peran Bank dalam perdagangan efek.

Peraturan yang mengatur peran Bank dalam perdagangan efek adalah Peraturan Otoritas Jasa Keuangan Republik Indonesia Nomor 22/POJK.04/2019 tentang Transaksi Efek. Dalam peraturan ini, peran Bank dalam perdagangan efek adalah sebagai Perantara Pedagang Efek (Pasal 12).

Jadi, jawaban yang tepat adalah a. Perantara perdagangan efek.",0
13,"18. Tempat bertemunya permintaan dan penawaran modal untuk jangka waktu yang panjang adalah, kecuali  ","a. Pasar modal 
b. Bursa efek
c. Pasar dana 
d. capital market
e. stock exchange",Jawaban : C ,"Mohon maaf, sepertinya database saya saat ini tidak memiliki informasi yang cukup untuk menjawab pertanyaan Anda.",0
