,q,ch,a,answer_mcq,score
0,"Apa yang dimaksud dengan ""Efek"" dalam regulasi Otoritas Jasa Keuangan?","A) Dokumen keuangan apa pun
B) Pernyataan tertulis terkait penawaran umum
C) Unit kontrak investasi kolektif
D) Bentuk pengakuan utang",C) Unit kontrak investasi kolektif,"Dalam regulasi Otoritas Jasa Keuangan, yang dimaksud dengan ""Efek"" adalah surat berharga. Contoh-contoh dari efek antara lain surat pengakuan utang, surat berharga komersial, saham, obligasi, tanda bukti utang, unit penyertaan kontrak investasi kolektif, kontrak berjangka atas Efek, dan setiap derivatif dari Efek. (Referensi: Peraturan Otoritas Jasa Keuangan Nomor 22/POJK.04/2019 tentang Transaksi Efek, Pasal 1 huruf (1); Peraturan Otoritas Jasa Keuangan Nomor 22 /POJK.04/2017 Tentang Pelaporan Transaksi Efek, Pasal 1 huruf (1); Peraturan Otoritas Jasa Keuangan Nomor 10/POJK.04/2020 Tentang Laporkan Biro Administrasi Efek atau Emiten dan Perusahaan Publik yang Menyelenggarakan Administrasi Efek Sendiri, Pasal 1 huruf (1); Peraturan Otoritas Jasa Keuangan Nomor 11/POJK.04/2018 Tentang Penawaran Umum Efek Bersifat Utang dan/atau Sukuk Kepada Pemodal Profesional, Pasal 1 huruf (2).)",0
1,Apa yang dilarang dalam promosi pemasaran Efek menurut Pasal 2?,"A) Mengungkapkan risiko investasi
B) Memberikan gambaran yang menyesatkan
C) Memuat informasi benar
D) Hanya mempromosikan Prospektus",B) Memberikan gambaran yang menyesatkan,"Jawab: B) Memberikan gambaran yang menyesatkan

Alasan: Menurut Pasal 2 Peraturan Otoritas Jasa Keuangan Republik Indonesia Nomor 7/POJK.04/2019, dalam rangka Penawaran Umum oleh Emiten atau pemasaran Efek oleh Perusahaan Efek, promosi pemasaran Efek termasuk iklan, brosur, atau komunikasi lainnya kepada publik, yang bukan merupakan Prospektus, Prospektus Ringkas, Prospektus Awal, atau info memo, dilarang memberikan gambaran yang menyesatkan. Hal ini dapat terjadi jika informasi yang tidak benar atau tidak mengungkapkan fakta material, sehingga memberikan gambaran yang menyesatkan (Pasal 2 huruf a) atau memberikan gambaran yang menyesatkan, karena isi dan/atau metode penyajiannya memberikan kesan bahwa Efek tertentu tepat bagi Pihak tertentu yang sebenarnya tidak memiliki kemampuan yang cukup untuk menanggung risiko yang ada pada Efek tersebut (Pasal 2 huruf b).",1
2,Apa yang wajib dimuat dalam promosi pemasaran Efek menurut Pasal 3?,"A) Informasi bahwa Efek hanya cocok untuk kelompok pemodal tertentu
B) Harga pasar saat promosi dibuat
C) Nama Pihak yang memberikan rekomendasi
D) Keterangan tentang perdagangan Efek tersebut",A) Informasi bahwa Efek hanya cocok untuk kelompok pemodal tertentu,"Dalam promosi pemasaran Efek, Pasal 3 Peraturan Otoritas Jasa Keuangan Republik Indonesia Nomor 7/POJK.04/2",1
3,Apa yang diwajibkan oleh Pasal 5 dalam hal promosi pemasaran Efek?,"A) Mengungkapkan risiko investasi
B) Memuat pendapat, proyeksi, atau ramalan secara jelas
C) Hanya mencantumkan informasi yang positif
D) Tidak memperbolehkan promosi pemasaran Efek","B) Memuat pendapat, proyeksi, atau ramalan secara jelas",Berdasarkan Peraturan Otoritas Jasa Keuangan Republik Indonesia Nomor 7/POJK.04/2,1
4,Apa yang harus dimuat dalam promosi pemasaran Efek menurut Pasal 6 dalam rangka Penawaran Umum?,"A) Informasi tentang promosi pemasaran Efek
B) Prospektus atau kesempatan untuk membaca Prospektus
C) Nominal nilai Efek
D) Pernyataan Pendaftaran",B) Prospektus atau kesempatan untuk membaca Prospektus,Menurut Pasal 6 PERATURAN OTORITAS JASA KEUANGAN REPUBLIK INDONESIA NOMOR 7/POJK.04/2,1
5,Apa yang dapat dilakukan oleh Otoritas Jasa Keuangan terkait pengenaan sanksi administratif menurut Pasal 9?,"A) Dapat mengumumkan kepada masyarakat
B) Hanya memberikan peringatan tertulis
C) Melakukan tindakan tertentu kepada Pihak yang melanggar
D) Menunda pengenaan sanksi",A) Dapat mengumumkan kepada masyarakat,"Jawab: A) Dapat mengumumkan kepada masyarakat

Konteks: PERATURAN OTORITAS JASA KEUANGAN NOMOR 7/POJK.04/2",1
6,Kapan Peraturan Otoritas Jasa Keuangan ini mulai berlaku?,"A) Setelah diumumkan kepada masyarakat
B) Tanggal diundangkan
C) Setelah Keputusan Ketua Badan Pengawas Pasar Modal dicabut
D) Pada saat Peraturan ini disetujui oleh masyarakat",B) Tanggal diundangkan,"Sesuai dengan informasi di database, berikut adalah tanggal berlaku beberapa Peraturan Otoritas Jasa Keuangan (OJK) yang relevan:

1. Peraturan Otoritas Jasa Keuangan Nomor 15/POJK.04/2022 tentang Pemecahan Saham dan Penggabungan Saham Oleh Perusahaan Terbuka mulai berlaku setelah 6 (enam) bulan terhitung sejak tanggal diundangkan.
2. Peraturan Otoritas Jasa Keuangan Nomor 6/POJK.07/2",0
7,"Apa yang dimaksud dengan ""Perusahaan Terbuka"" menurut Pasal 1?","A) Perusahaan yang hanya melayani umum
B) Emiten yang melakukan penawaran umum efek bersifat ekuitas atau perusahaan publik
C) Organisasi non-profit
D) Perusahaan yang tidak terdaftar di bursa saham",B) Emiten yang melakukan penawaran umum efek bersifat ekuitas atau perusahaan publik,"Berdasarkan Peraturan Otoritas Jasa Keuangan Nomor 9/POJK.04/2018 Tentang Pengambilalihan Perusahaan Terbuka, Peraturan Otoritas Jasa Keuangan Nomor 11/POJK.04/2",0
8,Siapa yang memiliki wewenang yang tidak diberikan kepada direksi atau dewan komisaris dalam Perusahaan Terbuka?,"A) Pemegang Saham Independen
B) Penerima Kuasa
C) Pengguna e-RUPS
D) Rapat Umum Pemegang Saham (RUPS)",D) Rapat Umum Pemegang Saham (RUPS),"Jawab: D

Hal ini dapat disimpulkan dari Penjelasan Peraturan Otoritas Jasa Keuangan Nomor 9/POJK.04/2018 tentang Pengambilalihan Perusahaan Terbuka, di mana di dalam Pasal 2, salah satu contoh dokumen atau informasi yang dapat menunjukkan pengendalian Perusahaan Terbuka adalah kemampuan untuk menguasai suara mayoritas pada rapat direksi dan rapat dewan komisaris sehingga dapat mengendalikan Perusahaan Terbuka. Hal ini menunjukkan bahwa Rapat Umum Pemegang Saham (RUPS) memiliki wewenang yang tidak diberikan kepada direksi atau dewan komisaris dalam Perusahaan Terbuka.",1
9,Kapan Perusahaan Terbuka wajib menyelenggarakan RUPS Tahunan menurut Pasal 2 ayat (2)?,"A) Paling lambat 1 bulan setelah tahun buku berakhir
B) Paling lambat 3 bulan setelah tahun buku berakhir
C) Paling lambat 6 bulan setelah tahun buku berakhir
D) Paling lambat 9 bulan setelah tahun buku berakhir",C) Paling lambat 6 bulan setelah tahun buku berakhir,Pasal 2 ayat (2) dari Peraturan Otoritas Jasa Keuangan Republik Indonesia Nomor 15/POJK.04/2,1
