,answer,ans_grth,score
0,"Dalam Peraturan Otoritas Jasa Keuangan, yang dimaksud dengan:

1. Efek: Adalah surat berharga, yaitu surat pengakuan utang, surat berharga komersial, saham, obligasi, tanda bukti utang, unit penyertaan kontrak investasi kolektif, kontrak berjangka atas Efek, dan setiap derivatif dari Efek. (Peraturan Otoritas Jasa Keuangan tentang Penawaran yang Bukan Merupakan Penawaran Umum, Pasal 1 ayat 2).

2. Penawaran Umum: Adalah kegiatan penawaran efek yang dilakukan oleh Emiten untuk menjual efek kepada masyarakat berdasarkan tata cara yang diatur dalam Undang-Undang mengenai pasar modal dan peraturan pelaksanaannya. (Peraturan Otoritas Jasa Keuangan tentang Penawaran Umum, Pasal 1 ayat 1).

3. Emiten: Adalah pihak yang melakukan Penawaran Umum. (Peraturan Otoritas Jasa Keuangan tentang Penawaran Umum, Pasal 1 ayat 2).","""a. Efek adalah surat berharga, yaitu surat pengakuan 
utang, surat berharga komersial, saham, obligasi, tanda 
bukti utang, unit penyertaan kontrak investasi kolektif, 
kontrak berjangka atas Efek, dan setiap derivatif dari 
Efek. b. Penawaran Umum adalah kegiatan penawaran Efek yang 
dilakukan oleh emiten untuk menjual Efek kepada
masyarakat berdasarkan tata cara yang diatur dalam 
Undang-Undang Nomor 8 Tahun 1995 tentang Pasar 
Modal dan peraturan pelaksanaannya. c. Emiten adalah Pihak yang melakukan Penawaran Umum.",1
1,"Saya akan menjawab pertanyaan Anda berdasarkan informasi yang diberikan dalam konteks yang telah disediakan.

Dalam konteks yang diberikan, terdapat beberapa hal yang dilarang oleh perusahaan efek dalam rangka penawaran umum oleh emiten atau pemasaran efek. Berikut ini adalah hal-hal tersebut:

1. Peraturan Pasar Modal nomor 9 tahun 2017, Pasal 13 ayat (2): Efek, agent penjualan efek, afiliasi dari penjamin emisi efek, atau afiliasi dari agent penjualan efek dilarang menjual efek yang telah dibeli atau akan dibelinya berdasarkan perjanjian penjaminan emisi efek sampai dengan efek tersebut dicatatkan di Bursa Efek.
2. Konteks: ""dalam hal Prospektus mencantumkan nama pihak yang membantu Emiten dalam penyusunan Prospektus, pihak dimaksud harus membuat pernyataan oleh emiten dalam rangka penawaran umum atau perusahaan publik."" Jika pihak yang membantu emiten dalam penyusunan Prospektus tidak membuat pernyataan, maka hal tersebut dapat menjadi pelanggaran peraturan.

Selain itu, dalam konteks yang diberikan tidak ada informasi yang langsung menjelaskan apa yang dilarang oleh perusahaan efek dalam rangka penawaran umum oleh emiten atau pemasaran efek. Untuk mendapatkan informasi lebih lanjut, saya sarankan memeriksa peraturan lain yang berhubungan dengan topik ini.

Jawab:

Dalam konteks yang diberikan, ada dua hal yang dianggap di larangkan oleh perusahaan efek dalam rangka penawaran umum oleh emiten atau pemasaran efek. Pertama, pihak-pihak tertentu dilarang menjual efek yang telah dibeli atau akan dibelinya berdasarkan perjanjian penjaminan emisi efek sampai dengan efek tersebut dicatatkan di Bursa Efek (Peraturan Pasar Modal nomor 9 tahun 2017, Pasal 13 ayat (2)). Kedua, jika pihak yang membantu emiten dalam penyusunan Prospektus tidak membuat pernyataan, maka hal tersebut dapat menjadi pelanggaran peraturan. Namun, untuk mendapatkan informasi lebih lanjut, saya sarankan memeriksa peraturan lain yang berhubungan dengan topik ini.","""
""a. memuat informasi yang tidak benar atau tidak 
mengungkapkan fakta material, sehingga memberikan 
gambaran yang menyesatkan; dan/atau
b. memberikan gambaran yang menyesatkan, karena isi 
dan/atau metode penyajiannya memberikan kesan 
bahwa Efek tertentu tepat bagi Pihak tertentu yang 
sebenarnya tidak memiliki kemampuan yang cukup 
untuk menanggung risiko yang ada pada Efek tersebut.",1
2,"Based on the provided context, which is Peraturan Otoritas Jasa Keuangan Nomor 7/POJK.04/2","""
a. memuat informasi bahwa Efek tertentu yang dipromosikan hanya cocok untuk kelompok pemodal tertentu; dan b. mengungkapkan risiko yang berhubungan dengan investasi atas Efek tertentu dimaksud.",1
3,"Based on the provided context, which is Peraturan Otoritas Jasa Keuangan Republik Indonesia Nomor 7 /POJK.04/2","
Dalam hal promosi pemasaran Efek memuat pendapat, proyeksi, atau ramalan mengenai Efek tertentu, pendapat, proyeksi, atau ramalan mengenai Efek tertentu tersebut wajib diungkapkan secara jelas.",1
4,"Pasal 12 ayat (1), Pasal 104, dan Pasal 11 pemberlakukan aturan tentang pengenaan sanksi administratif oleh Otoritas Jasa Keuangan. Hal ini didasarkan pada beberapa context yang disediakan.","
Pasal 7 ayat (4) dan tindakan tertentu sebagaimana dimaksud dalam Pasal 8 kepada masyarakat.",1
5,"Pasal 3, Pasal 4, dan Pasal 5 dari Peraturan Otoritas Jasa Keuangan Republik Indonesia Nomor 7 /POJK.04/2019 tentang Promosi Pemasaran Efek termasuk Iklan, Brosur, atau Komunikasi Lainnya Kepada Publik menetapkan bahwa dalam hal promosi pemasaran efek, wajib memuat informasi tertentu. Berikut adalah informasi yang harus disertakan:

1. Pasal 3(1), promosi pemasaran efek wajib memuat informasi bahwa efek tertentu yang dipromosikan hanya cocok untuk kelompok pemodal tertentu dan mengungkapkan risiko yang berhubungan dengan investasi atas efek tersebut.
2. Pasal 4, dalam hal promosi pemasaran efek memuat rekomendasi untuk membeli, menjual, atau menahan efek tertentu, wajib memuat informasi sebagai berikut:
   a. Tanggal rekomendasi;
   b. Harga pasar pada saat rekomendasi dibuat;
   c. Pihak yang memberikan rekomendasi; dan
   d. Keterangan apakah pihak yang memberikan rekomendasi atau pihak terafiliasinya telah memperdagangkan efek tersebut untuk rekeningnya secara reguler atau memiliki efek tersebut dengan nilai paling sedikit Rp25.000.000,00.
3. Pasal 5, dalam hal promosi pemasaran efek memuat pendapat, proyeksi, atau ramalan mengenai efek tertentu, pendapat, proyeksi, atau ramalan tersebut wajib diungkapkan secara jelas.

Selain itu, dalam rangka Penawaran Umum, promosi pemasaran efek wajib memuat informasi bahwa pemodal hanya dapat melakukan pemesanan pembelian efek setelah pemodal dimaksud memperoleh Prospektus atau memperoleh kesempatan untuk membaca Prospektus, dan setelah Pernyataan Pendaftaran efektif (Pasal 6).","
a. tanggal rekomendasi; b. harga pasar pada saat rekomendasi dibuat; c. Pihak yang memberikan rekomendasi; dan d. keterangan apakah Pihak yang memberikan rekomendasi atau Pihak terafiliasinya telah memperdagangkan Efek tersebut untuk rekeningnya secara reguler atau memiliki Efek tersebut dengan nilai paling sedikit Rp25.000.000,00 (dua puluh lima juta rupiah).",1
6,Pasal 5 Peraturan Otoritas Jasa Keuangan Nomor 7/POJK.04/2,"
Dalam hal promosi pemasaran Efek memuat pendapat, proyeksi, atau ramalan mengenai Efek tertentu, pendapat, proyeksi, atau ramalan mengenai Efek tertentu tersebut wajib diungkapkan secara jelas.",0
7,"Pasal 77, Pasal 78 ayat (2), ayat (3), Pasal 13, dan ayat (1), (2), (3) yang dikenai sanksi administratif, mengacu pada Peraturan Nomor 21/POJK.04/2014 tentang Sanksi Administratif di Pasar Modal. Hal ini dimaksudkan dalam ayat (1) sebagai ""sanksi administratif"".

Sanksi administratif sebagaimana dimaksud dalam ayat (1) meliputi:
a. peringatan tertulis;
b. denda, yaitu kewajiban untuk membayar sejumlah uang tertentu;
c. pembatasan kegiatan usaha;
d. pembekuan kegiatan usaha;
e. pencabutan izin usaha;
f. pembatalan persetujuan; dan/atau
g. pembatalan pendaftaran.

Artikel ini diambil dari Peraturan Nomor 21/POJK.04/2014.","
a. peringatan tertulis; b. denda yaitu kewajiban untuk membayar sejumlah uang tertentu; c. pembatasan kegiatan usaha; d. pembekuan kegiatan usaha; e. pencabutan izin usaha; f. pembatalan persetujuan; dan/atau g. pembatalan pendaftaran.",0
8,"Pasal 107 Peraturan Otoritas Jasa Keuangan tahun 2020 menetapkan bahwa peraturan ini mulai berlaku pada tanggal dundangkannya, yaitu tanggal 25 Mei 2020.

Salinan sesuai dengan aslinya. Direktur Hukum 1 Departemen Hukum ttd Mufli Asmawidjaja. Ditetapkan di Jakarta pada tanggal 25 Mei 2020. KETUA DEWAN KOMISIONER OTORITAS JASA KEUANGAN REPUBLIK INDONESIA, ttd WIMBOH SANTOSO. Diundangkan di Jakarta pada tanggal 2 Juli 2020. MENTERI HUKUM DAN HAK ASASI MANUSIA REPUBLIK INDONESIA, ttd YASONNA H. LAOLY. LEMBARAN NEGARA REPUBLIK INDONESIA TAHUN 2020 NOMOR 161.","
""Peraturan Otoritas Jasa Keuangan ini mulai berlaku pada
tanggal diundangkan.",0
9,"Sesuai dengan Peraturan Otoritas Jasa Keuangan Nomor KEP-06/2014, yang dimaksud dengan:

1. Prospektus adalah setiap informasi tertulis sehubungan dengan Penawaran Umum dengan tujuan agar Pihak lain membeli Efek.
2. Prospektus Awal adalah dokumen tertulis yang memuat seluruh informasi dalam Prospektus yang disampaikan kepada Otoritas Jasa Keuangan sebagai bagian dari Pernyataan Pendaftaran, kecuali informasi mengenai nilai nominal, jumlah dan harga penawaran Efek, penjaminan emisi Efek, tingkat suku bunga obligasi, atau hal lain yang berhubungan dengan persyaratan penawaran yang belum dapat ditentukan.
3. Prospektus Ringkas adalah ringkasan dari isi Prospektus Awal.

Dalam undang-undang yang sama, prospektus digunakan sebagai alat untuk menyampaikan informasi kepada umum, sedangkan prospektus awal digunakan sebagai dasar untuk membuat prospektus ringkas.","""
Prospektus adalah setiap informasi tertulis sehubungan dengan Penawaran Umum dengan tujuan agar Pihak lain membeli Efek Emiten. Prospektus Awal adalah dokumen tertulis yang memuat seluruh informasi dalam Prospektus yang disampaikan kepada Otoritas Jasa Keuangan sebagai bagian dari pernyataan pendaftaran, kecuali informasi mengenai nilai nominal, jumlah dan harga penawaran Efek, penjaminan emisi Efek, tingkat suku bunga obligasi, atau hal lain yang berhubungan dengan persyaratan penawaran yang belum dapat ditentukan. Prospektus Ringkas adalah ringkasan dari isi Prospektus Awal. ",
