,q,ch,a,answer_mcq,score
0,1. Pasar uang merupakan pertemuan antara permintaan dan penawaran kredit  ,"a.Jangka pendek
b.Jangka menengah
c.Jangka Panjang
d. jangka sedang
e.jangka tidak pasti",Jawaban : A ,Pasar uang merupakan pertemuan antara permintaan dan penawaran kredit dengan jangka pendek.,1
1,"2. Selain Bursa Efek Jakarta, Indonesia pernah mempunyai bursa efek di  ","a.Medan
b.Semarang
c.Surabaya 
d.Bandung
e. Makassar",Jawaban : C ,"Berdasarkan informasi yang diberikan, Indonesia pernah memiliki bursa efek di beberapa kota, yaitu:

a. Medan
b. Semarang
c. Surabaya
d. Bandung
e. Makassar

Regulasi terkait ini tidak disebutkan dalam konteks yang diberikan.",0
2,3. Di Bursa Efek diberlakukan system perdagangan otomatis yang dikenal dengan nama: ,"a.The Jakarta Automated Trading System
b.capital market
c.Automated Teller Machine
d.capital gain
e.Invesment Company",Jawaban : A ,"Jawaban:

Di Bursa Efek diberlakukan sistem perdagangan otomatis yang dikenal dengan nama The Jakarta Automated Trading System (JATS). Hal ini diatur dalam Pasal 3 Undang-Undang Nomor 8 Tahun 1995 tentang Pasar Modal.",1
3,4. Surat tanda penyertaan atau kepemilikan seseorang dan atau badan usaha dalam suatu perusahaan dIsebut  ,"a.Saham 
b.Obligasi 
c.Right 
d.Warrant
e.reksa dana ",Jawaban: A ,Surat tanda penyertaan atau kepemilikan seseorang dan atau badan usaha dalam suatu perusahaan disebut saham.,1
4,5. Surat yang berharga yang memberikan hak bagi pemodal untuk membeli saham baru yang dikeluarkan emiten adalah  ,"a.Saham
b.Obligas
c.Right 
d.Warrant
e. reksa dana",Jawaban : C ,Jawaban yang benar adalah c. Right.,1
5,9. Berikut ini yang bukan pelaku di pasar modal . ,"a.Emiten 
b.Perusahaan efek 
c.Reksadana 
d.BUMN
e.perusahaan publik",Jawaban : D ,"Jawaban:

e. perusahaan publik

Perusahaan publik bukanlah pelaku di pasar modal. Pelaku di pasar modal meliputi emiten, perusahaan efek, reksadana, dan BUMN.",0
6,10. Lembaga yang bertugas melaksanakan penilaian saham atau obligasi yang beredar adalah ,"a. Perusahaan Efek
b.Pemeringkat Efek
c.Biro Administrasi Efek
d.Bursa Efek
e.Kustodian ",Jawaban : B ,"Lembaga yang bertugas melaksanakan penilaian saham atau obligasi yang beredar adalah Pemeringkat Efek. (Peraturan Otoritas Jasa Keuangan Nomor 1/POJK.07/2013 tentang Penilaian Efek yang Beredar, Pasal 1 angka 7)",0
7,"11. Berikut ini merupakan manfaat bursa efek, kecuali  ","a. Untuk memperoleh bunga yang tinggi 
b. Untuk memperoleh modal dari luar sector perbankan 
c. Agar masyarakat umum dapat keuntungan perusahaan melalui kepemilikan saham 
d. Untuk melakukan ekspansi perusahaan 
e. Meningkatkan produktivitas perusahaan ",Jawaban : A ,Jawaban: a. Untuk memperoleh bunga yang tinggi,1
8,12. Surat bukti penyertaan modal dinamakan  ,"a.Emiten
b.Saham
c.Penyertaan
d.Investasi
e.sertifikat",Jawaban: B ,"Surat bukti penyertaan modal dalam konteks ini dinamakan ""c. Penyertaan"".",0
9,13. Salah satu fungsi Bapepam adalah  ,"a.Melakukan pemeriksaan atas laporan keuangan bagi perusahaan yang akan masuk ke bursa efek 
b.Menjamin emisi efek bagi perusahaan yang ingin menjual saham 
c.Sebagai agen (perantara) perdagangan efek 
d.Mengadakan pembinaan dan pengawasan terhadap bursa efek yang dikelola swasta 
e.Meningkatkan partisipasi mayarakat dalam pengumpulan dana di bursa efek ",Jawaban : D ,"Jawaban: d. Mengadakan pembinaan dan pengawasan terhadap bursa efek yang dikelola swasta.

Fungsi Bapepam (Badan Pengawas Pasar Modal) adalah melakukan pembinaan, pengaturan, dan pengawasan terhadap kegiatan Pasar Modal, termasuk bursa efek yang dikelola swasta. Hal ini diatur dalam Pasal 4 Undang-Undang Nomor 8 Tahun 1995 tentang Pasar Modal.",1
10,15. Pasar uang merupakan pertemuan antara permintaan dan penawaran kredit  ,"a.Jangka pendek 
b.Jangka menengah
c. Jangka Panjang
d.jangka sedang
e.jangka tidak pasti",Jawaban : A ,"Jawaban: a. Jangka pendek

Pasar uang merupakan pertemuan antara permintaan dan penawaran kredit dengan jangka waktu yang relatif pendek, biasanya kurang dari satu tahun.",1
11,16. Salah satu peran pasar modal adalah ,"a. Membiayai pembangunan
b. Sebagai indikator perkembangan ekonomi suatu negara
c. Menutupi defisit APBN
d. Salah satu sumber penerimaan pemerintah
e. Harga saham stabil",Jawaban : A ,"Jawaban: a. Membiayai pembangunan

Salah satu peran pasar modal adalah membiayai pembangunan. Hal ini sesuai dengan Pasal 1 angka 12 Undang-Undang Nomor 8 Tahun 1995 tentang Pasar Modal yang menyatakan bahwa pasar modal merupakan kegiatan yang bersangkutan dengan penawaran umum dan perdagangan efek, perusahaan publik yang berkaitan dengan efek yang diterbitkannya, serta lembaga dan profesi yang berkaitan dengan efek. Salah satu bentuk dari penawaran umum efek adalah untuk memperoleh dana yang digunakan untuk pembangunan perusahaan atau proyek-proyek investasi.",1
12,17. Peranan Bank dalam perdagangan efek adalah sebagai ... ,"a. Perantara perdagangan efek
b. Penjual efek secara langsung di bursa
c. Penjamin emisi
d. Pembeli efek
e. Penyandang dana",Jawaban : E ,Jawab: a. Perantara perdagangan efek,0
