,answer,ans_grth,score
0,"Dalam Peraturan Otoritas Jasa Keuangan (OJK), yang dimaksud dengan:

1. Efek adalah surat berharga, yaitu surat pengakuan utang, surat berharga komersial, saham, obligasi, tanda bukti utang, Unit Penyertaan kontrak investasi kolektif, kontrak berjangka atas Efek, dan setiap derivatif dari Efek. (POJK Nomor 25/POJK.04/2","""a. Efek adalah surat berharga, yaitu surat pengakuan 
utang, surat berharga komersial, saham, obligasi, tanda 
bukti utang, unit penyertaan kontrak investasi kolektif, 
kontrak berjangka atas Efek, dan setiap derivatif dari 
Efek. b. Penawaran Umum adalah kegiatan penawaran Efek yang 
dilakukan oleh emiten untuk menjual Efek kepada
masyarakat berdasarkan tata cara yang diatur dalam 
Undang-Undang Nomor 8 Tahun 1995 tentang Pasar 
Modal dan peraturan pelaksanaannya. c. Emiten adalah Pihak yang melakukan Penawaran Umum.",1
1,Sesuai dengan Peraturan Otoritas Jasa Keuangan Republik Indonesia Nomor 7/POJK.04/2,"""
""a. memuat informasi yang tidak benar atau tidak 
mengungkapkan fakta material, sehingga memberikan 
gambaran yang menyesatkan; dan/atau
b. memberikan gambaran yang menyesatkan, karena isi 
dan/atau metode penyajiannya memberikan kesan 
bahwa Efek tertentu tepat bagi Pihak tertentu yang 
sebenarnya tidak memiliki kemampuan yang cukup 
untuk menanggung risiko yang ada pada Efek tersebut.",1
2,"Based on the provided regulation, PERATURAN OTORITAS JASA KEUANGAN REPUBLIK INDONESIA NOMOR 7/POJK.04/2","""
a. memuat informasi bahwa Efek tertentu yang dipromosikan hanya cocok untuk kelompok pemodal tertentu; dan b. mengungkapkan risiko yang berhubungan dengan investasi atas Efek tertentu dimaksud.",1
3,"Based on the provided context, which is POJK (Financial Services Authority Regulation) Number 7/POJK.04/2","
Dalam hal promosi pemasaran Efek memuat pendapat, proyeksi, atau ramalan mengenai Efek tertentu, pendapat, proyeksi, atau ramalan mengenai Efek tertentu tersebut wajib diungkapkan secara jelas.",1
4,"Pasal 32 Peraturan Otoritas Jasa Keuangan Republik Indonesia Nomor 22/POJK.04/2019 tentang Transaksi Efek, Pasal 24 Peraturan Otoritas Jasa Keuangan Nomor 76/POJK.04/2017 tentang Penawaran Umum Oleh Pemegang Saham, Pasal 35 Peraturan Otoritas Jasa Keuangan Nomor 32/POJK.04/2015 tentang Emiten dan Pasal 18 Peraturan Otoritas Jasa Keuangan Nomor 36/POJK.04/2014 tentang Penawaran Umum Berkelanjutan Efek Berharga Uang dan/atau Sukuk, mengatur bahwa Otoritas Jasa Keuangan dapat mengumumkan pengenaan sanksi administratif kepada masyarakat.","
Pasal 7 ayat (4) dan tindakan tertentu sebagaimana dimaksud dalam Pasal 8 kepada masyarakat.",0
5,"Based on the provided regulation, Peraturan Otoritas Jasa Keuangan Republik Indonesia Nomor 7/POJK.04/2","
a. tanggal rekomendasi; b. harga pasar pada saat rekomendasi dibuat; c. Pihak yang memberikan rekomendasi; dan d. keterangan apakah Pihak yang memberikan rekomendasi atau Pihak terafiliasinya telah memperdagangkan Efek tersebut untuk rekeningnya secara reguler atau memiliki Efek tersebut dengan nilai paling sedikit Rp25.000.000,00 (dua puluh lima juta rupiah).",1
6,Pasal 5 Peraturan Otoritas Jasa Keuangan Nomor 7/POJK.04/2,"
Dalam hal promosi pemasaran Efek memuat pendapat, proyeksi, atau ramalan mengenai Efek tertentu, pendapat, proyeksi, atau ramalan mengenai Efek tertentu tersebut wajib diungkapkan secara jelas.",1
7,Pasal 15 ayat (1) Peraturan Otoritas Jasa Keuangan Republik Indonesia Nomor 27/POJK.04/2,"
a. peringatan tertulis; b. denda yaitu kewajiban untuk membayar sejumlah uang tertentu; c. pembatasan kegiatan usaha; d. pembekuan kegiatan usaha; e. pencabutan izin usaha; f. pembatalan persetujuan; dan/atau g. pembatalan pendaftaran.",1
8,"Based on the provided context, the regulation referred to is PERATURAN OTORITAS JASA KEUANGAN REPUBLIK INDONESIA NOMOR 6/POJK.07/2","
""Peraturan Otoritas Jasa Keuangan ini mulai berlaku pada
tanggal diundangkan.",1
9,"Dalam Peraturan Otoritas Jasa Keuangan (OJK) yang telah disebutkan, maka:

1. Prospektus: Adalah setiap informasi tertulis sehubungan dengan Penawaran Umum dengan tujuan agar Pihak lain membeli Efek. Artikel 1 point 1 dalam POJK Nomor 9/POJK.04/2","""
Prospektus adalah setiap informasi tertulis sehubungan dengan Penawaran Umum dengan tujuan agar Pihak lain membeli Efek Emiten. Prospektus Awal adalah dokumen tertulis yang memuat seluruh informasi dalam Prospektus yang disampaikan kepada Otoritas Jasa Keuangan sebagai bagian dari pernyataan pendaftaran, kecuali informasi mengenai nilai nominal, jumlah dan harga penawaran Efek, penjaminan emisi Efek, tingkat suku bunga obligasi, atau hal lain yang berhubungan dengan persyaratan penawaran yang belum dapat ditentukan. Prospektus Ringkas adalah ringkasan dari isi Prospektus Awal. ",1
10,"Dalam kaitannya dengan Peraturan Otoritas Jasa Keuangan (OJK) yang disebutkan di atas, Perusahaan Terbuka adalah emiten yang telah melakukan penawaran umum efek bersifat ekuitas atau perusahaan publik. Hal ini dapat dilihat pada definisi yang diberikan dalam Pasal 1 dari masing-masing peraturan, yaitu PERATURAN OTORITAS JASA KEUANGAN REPUBLIK INDONESIA NOMOR 15/POJK.04/2020, PERATURAN OTORITAS JASA KEUANGAN NOMOR 11/POJK.04/2017, PERATURAN OTORITAS JASA KEUANGAN REPUBLIK INDONESIA NOMOR 3/POJK.04/2021, serta PERATURAN OTORITAS JASA KEUANGAN NOMOR 9/POJK.04/2018.","
Perusahaan Terbuka adalah emiten yang melakukan penawaran umum efek bersifat ekuitas atau perusahaan publik.",0
11,"Dalam Peraturan Otoritas Jasa Keuangan (OJK) yang telah disebutkan, Pemegang Saham Independen adalah seorang pemegang saham yang tidak memiliki kepentingan ekonomis pribadi terhadap suatu transaksi tertentu dan bukan merupakan:

a. anggota direksi, anggota dewan komisaris, pemegang saham utama, atau pengendali; atau

b. Afiliasi dari anggota direksi, anggota dewan komisaris, pemegang saham utama, atau pengendali.

Hal ini ditetapkan dalam Pasal 1 nomor 12, 29, dan 9 dari Peraturan OJK Nomor 15/POJK.04/2","
Pemegang Saham Independen adalah pemegang saham yang tidak mempunyai kepentingan ekonomis pribadi sehubungan dengan suatu transaksi tertentu dan  a. bukan merupakan anggota Direksi, anggota Dewan Komisaris, pemegang saham utama, dan Pengendali; atau b. bukan merupakan afiliasi dari anggota Direksi, anggota Dewan Komisaris, pemegang saham utama, dan Pengendali.",1
12,Dalam Peraturan Otoritas Jasa Keuangan Republik Indonesia Nomor 15/POJK.04/2,"
Perusahaan Terbuka wajib menyelenggarakan RUPS Tahunan paling lambat 6 (enam) bulan setelah tahun buku berakhir.",0
