,q,ch,a,answer_mcq,score
0,"Apa yang dimaksud dengan ""Efek"" dalam regulasi Otoritas Jasa Keuangan?","A) Dokumen keuangan apa pun
B) Pernyataan tertulis terkait penawaran umum
C) Unit kontrak investasi kolektif
D) Bentuk pengakuan utang",C) Unit kontrak investasi kolektif,"Dalam regulasi Otoritas Jasa Keuangan, yang dimaksud dengan ""Efek"" adalah surat berharga, yaitu surat pengakuan utang, surat berharga komersial, saham, obligasi, tanda bukti utang, unit penyertaan kontrak investasi kolektif, kontrak berjangka atas Efek, dan setiap derivatif atas Efek. (Peraturan Otoritas Jasa Keuangan Nomor 10/POJK.04/2",1
1,Apa yang dilarang dalam promosi pemasaran Efek menurut Pasal 2?,"A) Mengungkapkan risiko investasi
B) Memberikan gambaran yang menyesatkan
C) Memuat informasi benar
D) Hanya mempromosikan Prospektus",B) Memberikan gambaran yang menyesatkan,Pasal 2 Peraturan Otoritas Jasa Keuangan Nomor 7/POJK.04/2,1
2,Apa yang wajib dimuat dalam promosi pemasaran Efek menurut Pasal 3?,"A) Informasi bahwa Efek hanya cocok untuk kelompok pemodal tertentu
B) Harga pasar saat promosi dibuat
C) Nama Pihak yang memberikan rekomendasi
D) Keterangan tentang perdagangan Efek tersebut",A) Informasi bahwa Efek hanya cocok untuk kelompok pemodal tertentu,"Jawab: A) Informasi bahwa Efek hanya cocok untuk kelompok pemodal tertentu

Alasan: Pasal 3 huruf (a) Peraturan Otoritas Jasa Keuangan Republik Indonesia Nomor 7/POJK.04/2",1
3,Apa yang diwajibkan oleh Pasal 5 dalam hal promosi pemasaran Efek?,"A) Mengungkapkan risiko investasi
B) Memuat pendapat, proyeksi, atau ramalan secara jelas
C) Hanya mencantumkan informasi yang positif
D) Tidak memperbolehkan promosi pemasaran Efek","B) Memuat pendapat, proyeksi, atau ramalan secara jelas","Jawab: B) Memuat pendapat, proyeksi, atau ramalan secara jelas

Keterangan: Pasal 5 dalam Peraturan Otoritas Jasa Keuangan Republik Indonesia Nomor 7/POJK.04/2",1
4,Apa yang harus dimuat dalam promosi pemasaran Efek menurut Pasal 6 dalam rangka Penawaran Umum?,"A) Informasi tentang promosi pemasaran Efek
B) Prospektus atau kesempatan untuk membaca Prospektus
C) Nominal nilai Efek
D) Pernyataan Pendaftaran",B) Prospektus atau kesempatan untuk membaca Prospektus,"Jawab: B) Prospektus atau kesempatan untuk membaca Prospektus.

Pasal 6 dalam rangka Penawaran Umum menetapkan bahwa dalam promosi pemasaran effek wajib memuat informasi bahwa pemodal hanya dapat melakukan pemesanan pembelian effek setelah pemodal dimaksud memperoleh Prospektus atau memperoleh kesempatan untuk membaca Prospektus, dan setelah Pernyataan Pendaftaran efektif. Hal ini disesuaikan dengan Peraturan Otoritas Jasa Keuangan Nomor 7/POJK.04/2019 Tentang Promosi Pemasaran Efek termasuk Iklan, Brosur, atau Komunikasi Lainnya Kepada Publik.",1
5,Apa yang dapat dilakukan oleh Otoritas Jasa Keuangan terkait pengenaan sanksi administratif menurut Pasal 9?,"A) Dapat mengumumkan kepada masyarakat
B) Hanya memberikan peringatan tertulis
C) Melakukan tindakan tertentu kepada Pihak yang melanggar
D) Menunda pengenaan sanksi",A) Dapat mengumumkan kepada masyarakat,"Jawab: A) Dapat mengumumkan kepada masyarakat

Keterangan: Menurut Peraturan Otoritas Jasa Keuangan Nomor 7/POJK.04/2",1
6,Kapan Peraturan Otoritas Jasa Keuangan ini mulai berlaku?,"A) Setelah diumumkan kepada masyarakat
B) Tanggal diundangkan
C) Setelah Keputusan Ketua Badan Pengawas Pasar Modal dicabut
D) Pada saat Peraturan ini disetujui oleh masyarakat",B) Tanggal diundangkan,Pasal 62 (1) Peraturan Otoritas Jasa Keuangan Nomor 6/POJK.07/2,1
7,"Apa yang dimaksud dengan ""Perusahaan Terbuka"" menurut Pasal 1?","A) Perusahaan yang hanya melayani umum
B) Emiten yang melakukan penawaran umum efek bersifat ekuitas atau perusahaan publik
C) Organisasi non-profit
D) Perusahaan yang tidak terdaftar di bursa saham",B) Emiten yang melakukan penawaran umum efek bersifat ekuitas atau perusahaan publik,"Selamat datang! Saya siap untuk menjawab pertanyaan Anda mengenai kapital market regulation di Indonesia. Berdasarkan informasi yang Anda berikan, yaitu Peraturan Otoritas Jasa Keuangan Nomor 9/POJK.04/2018, 15/POJK.04/2020, 15/POJK.04/2022, serta 11/POJK.04/2",1
8,Siapa yang memiliki wewenang yang tidak diberikan kepada direksi atau dewan komisaris dalam Perusahaan Terbuka?,"A) Pemegang Saham Independen
B) Penerima Kuasa
C) Pengguna e-RUPS
D) Rapat Umum Pemegang Saham (RUPS)",D) Rapat Umum Pemegang Saham (RUPS),"Jawab: D
Rapat Umum Pemegang Saham (RUPS)

Keterangan:
Sesuai dengan Peraturan Otoritas Jasa Keuangan Nomor 16/POJK.04/2020 Tentang Pelaksanaan Rapat Umum Pemegang Saham Perusahaan Terbuka Secara Elektronik, dalam Pasal 1 Peraturan tersebut, di definisikan bahwa Rapat Umum Pemegang Saham (RUPS) adalah suatu kegiatan berupa rapat yang diadakan oleh Perusahaan Terbuka dengan tujuan untuk mengambil keputusan atas masalah yang penting bagi Perusahaan Terbuka. Hal ini menunjukkan bahwa RUPS memiliki wewenang yang tidak diberikan kepada Direksi atau Dewan Komisaris dalam Perusahaan Terbuka.",0
9,Kapan Perusahaan Terbuka wajib menyelenggarakan RUPS Tahunan menurut Pasal 2 ayat (2)?,"A) Paling lambat 1 bulan setelah tahun buku berakhir
B) Paling lambat 3 bulan setelah tahun buku berakhir
C) Paling lambat 6 bulan setelah tahun buku berakhir
D) Paling lambat 9 bulan setelah tahun buku berakhir",C) Paling lambat 6 bulan setelah tahun buku berakhir,Pasal 2 ayat (2) dari Peraturan Otoritas Jasa Keuangan Republik Indonesia Nomor 15/POJK.04/2,0
