,q,ch,a,answer_mcq,score
0,1. Pasar uang merupakan pertemuan antara permintaan dan penawaran kredit  ,"a.Jangka pendek
b.Jangka menengah
c.Jangka Panjang
d. jangka sedang
e.jangka tidak pasti",Jawaban : A ,"Pasar uang merupakan pertemuan antara permintaan dan penawaran kredit dalam jangka pendek. Hal ini disebutkan dalam Pasal 30 (1) dari context yang Anda berikan, yaitu: ""Kegiatan di Pasar Uang dan Pasar Valuta Asing sebagaimana dimaksud dalam Pasal 30 (1) meliputi: a. penerbitan instrumen Pasar Uang; dan b. transaksi di Pasar Uang dan Pasar Valuta Asing."" Dalam undang-undang mengenai kepailitan dan penundaan kewajiban pembayaran utang wajib diselesaikan seolah-olah tidak terjadi kepailitan, Pasal 41 (1), transaksi di Pasar Uang dan Pasar Valuta Asing dapat dilakukan, baik secara konvensional maupun berdasarkan Prinsip Syariah. Instrumen Pasar Uang berdasarkan Prinsip Syariah wajib memenuhi Prinsip Syariah yang ditetapkan oleh lembaga yang memiliki kewenangan dalam penetapan fatwa di bidang syariah (Pasal 28 (2)).",1
1,"2. Selain Bursa Efek Jakarta, Indonesia pernah mempunyai bursa efek di  ","a.Medan
b.Semarang
c.Surabaya 
d.Bandung
e. Makassar",Jawaban : C ,"Based on the provided context, I can see that the information about historical or previous stock exchanges in Indonesia is not mentioned. Therefore, I am unable to provide an accurate answer to your question.

My apologies, it seems my database does not have sufficient information to answer your query at the moment.",0
2,3. Di Bursa Efek diberlakukan system perdagangan otomatis yang dikenal dengan nama: ,"a.The Jakarta Automated Trading System
b.capital market
c.Automated Teller Machine
d.capital gain
e.Invesment Company",Jawaban : A ,"The Jakarta Automated Trading System

The name of the automated trading system used in the Indonesian capital market is The Jakarta Automated Trading System (JATS). It is a system implemented at the Indonesia Stock Exchange (Bursa Efek Indonesia) to facilitate efficient and automated trading of securities. The use of JATS is regulated under the rules and regulations of the capital market authority, including the ones mentioned in your context.",1
3,4. Surat tanda penyertaan atau kepemilikan seseorang dan atau badan usaha dalam suatu perusahaan dIsebut  ,"a.Saham 
b.Obligasi 
c.Right 
d.Warrant
e.reksa dana ",Jawaban: A ,"The term for the surat tanda penyertaan atau kepemilikan seseorang dan atau badan usaha dalam suatu perusahaan in Indonesia is 'Saham' or 'Stock'. This is regulated under the Indonesian Capital Market Regulation, specifically in Pasal 1 point (5) of Lembaran Negara Republik Indonesia Nomor 5647.",1
4,5. Surat yang berharga yang memberikan hak bagi pemodal untuk membeli saham baru yang dikeluarkan emiten adalah  ,"a.Saham
b.Obligas
c.Right 
d.Warrant
e. reksa dana",Jawaban : C ,"Based on the provided context, the answer to the question ""Surat yang berharga yang memberikan hak bagi pemodal untuk membeli saham baru yang dikeluarkan emiten adalah"" is:

c. Right

This is stated in the context under point 5, which defines various types of financial instruments. Among them, ""Right"" is a security that gives the right to its holders to buy new shares from the company at a specified price, usually lower than the market price, within a certain period.",1
5,9. Berikut ini yang bukan pelaku di pasar modal . ,"a.Emiten 
b.Perusahaan efek 
c.Reksadana 
d.BUMN
e.perusahaan publik",Jawaban : D ,"Based on the provided context, the answer is (e) perusahaan publik. This is because the context discusses regulations related to companies involved in the capital market, such as issuers of securities, companies that trade securities, and other market participants. However, the term ""perusahaan publik"" is not mentioned in the context as a participant in the capital market. Instead, it is defined in the capital market regulations as a company that meets certain requirements for public ownership and listing of its securities on a stock exchange.",0
6,10. Lembaga yang bertugas melaksanakan penilaian saham atau obligasi yang beredar adalah ,"a. Perusahaan Efek
b.Pemeringkat Efek
c.Biro Administrasi Efek
d.Bursa Efek
e.Kustodian ",Jawaban : B ,"Saham atau obligasi yang beredar di pasar modal dapat dilakukan penilaian oleh beberapa lembaga, seperti yang tercantum dalam Pasal 1 undang-undang Otoritas Jasa Keuangan Nomor 21 Tahun 2011. Berikut ini lembaga-lembaga tersebut:

a. Perusahaan Efek: Perusahaan yang bergerak di bidang jasa keuangan dan melakukan kegiatan penjualan dan pembelian saham untuk diri sendiri dan/atau nasabahnya.

b. Pemeringkat Efek: Perusahaan atau lembaga yang memberikan penilaian atas kualitas dan kepercayaan saham atau obligasi yang beredar.

c. Biro Administrasi Efek: Perusahaan yang menyediakan layanan administrasi dan pendukung untuk transaksi saham atau obligasi yang beredar.

d. Bursa Efek: Lembaga perdagangan yang bergerak di bidang perdagangan saham dan obligasi yang beredar.

e. Kustodian: Lembaga yang menyimpan dan mengelola aset-aset keuangan, termasuk saham dan obligasi yang beredar.

Namun, dalam kasus tertentu, perusahaan yang melakukan penawaran umum saham atau obligasi dapat memilih untuk menggunakan lembaga lain yang telah diizinkan oleh Otoritas Jasa Keuangan.",0
7,"11. Berikut ini merupakan manfaat bursa efek, kecuali  ","a. Untuk memperoleh bunga yang tinggi 
b. Untuk memperoleh modal dari luar sector perbankan 
c. Agar masyarakat umum dapat keuntungan perusahaan melalui kepemilikan saham 
d. Untuk melakukan ekspansi perusahaan 
e. Meningkatkan produktivitas perusahaan ",Jawaban : A ,"The capital market in Indonesia is regulated by various regulations, and I will answer your questions based on the provided context, which includes parts of the Regulation of the Stock Exchange.

Question: Who is responsible for fulfilling obligations towards the securities company for a securities exchange client?

According to Pasal 18 of the provided context, the client of a securities exchange member (Nasabah Anggota Bursa Efek) is only responsible for fulfilling their obligations towards the securities company for their own transactions, and they are not responsible towards other parties, including clearing institutions, other securities companies, and clients of other securities companies.

So, the client is only responsible for fulfilling their obligations towards their own securities company and not towards other parties.",0
8,12. Surat bukti penyertaan modal dinamakan  ,"a.Emiten
b.Saham
c.Penyertaan
d.Investasi
e.sertifikat",Jawaban: B ,"The term for a document that confirms the participation in capital injection is called ""Penyertaan"". Therefore, the correct answer is (c) Penyertaan. This term is used in the context of capital market regulation in Indonesia, specifically in the Tambahan Lembaran Negara Republik Indonesia Nomor 5779 and 6145.",0
9,13. Salah satu fungsi Bapepam adalah  ,"a.Melakukan pemeriksaan atas laporan keuangan bagi perusahaan yang akan masuk ke bursa efek 
b.Menjamin emisi efek bagi perusahaan yang ingin menjual saham 
c.Sebagai agen (perantara) perdagangan efek 
d.Mengadakan pembinaan dan pengawasan terhadap bursa efek yang dikelola swasta 
e.Meningkatkan partisipasi mayarakat dalam pengumpulan dana di bursa efek ",Jawaban : D ,"The correct answer based on the provided context is: d. Mengadakan pembinaan dan pengawasan terhadap bursa efek yang dikelola swasta.

The context refers to the roles and responsibilities of Bapepam (Badan Pengawas Pasar Modal), which includes conducting supervision and regulation of the capital market, including the supervision of privately-operated stock exchanges. This is stated in Pasal 100 Ayat (1) and Pasal 102 (1) of the regulation, which gives Bapepam the authority to enforce administrative sanctions on parties that violate the laws and regulations related to the capital market.",1
10,15. Pasar uang merupakan pertemuan antara permintaan dan penawaran kredit  ,"a.Jangka pendek 
b.Jangka menengah
c. Jangka Panjang
d.jangka sedang
e.jangka tidak pasti",Jawaban : A ,"Pasar uang merupakan pertemuan antara permintaan dan penawaran kredit dalam jangka pendek. Hal ini disebutkan dalam Pasal 30 (1) Peraturan Nomor 13 Tahun 2014 tentang Pasar Uang dan Pasar Valuta Asing. Selain itu, dalam konteks yang Anda berikan, Pasal 28 (1) Peraturan Nomor 13 Tahun 2014 menyebutkan bahwa kegiatan di Pasar Uang dan Pasar Valuta Asing meliputi penerbitan instrumen Pasar Uang dan transaksi di Pasar Uang dan Pasar Valuta Asing.",1
11,16. Salah satu peran pasar modal adalah ,"a. Membiayai pembangunan
b. Sebagai indikator perkembangan ekonomi suatu negara
c. Menutupi defisit APBN
d. Salah satu sumber penerimaan pemerintah
e. Harga saham stabil",Jawaban : A ,"Salah satu peran pasar modal adalah membiayai pembangunan, sebagai tercermin dalam Undang-Undang Nomor 8 Tahun 1995 tentang Pasar Modal. Hal ini dapat dilihat dari definisi Pasar Modal yang meliputi kegiatan penawaran umum dan perdagangan efek, serta lembaga dan profesi yang berkaitan dengan efek (Pasal 1 ayat 4). Perusahaan Efek, yang merupakan salah satu lembaga penting dalam Pasar Modal, dapat melakukan kegiatan usaha sebagai Penjamin Emisi Efek, Perantara Pedagang Efek, dan/atau Manajer Investasi (Pasal 1 ayat 6). Hal ini menunjukkan bahwa Pasar Modal memiliki peran signifikan dalam mendukung pembangunan, dengan mengelola dan mengendalikan transaksi efek yang dapat menjadi sumber dana untuk pembangunan.",0
12,17. Peranan Bank dalam perdagangan efek adalah sebagai ... ,"a. Perantara perdagangan efek
b. Penjual efek secara langsung di bursa
c. Penjamin emisi
d. Pembeli efek
e. Penyandang dana",Jawaban : E ,"Berdasarkan informasi yang Anda berikan, tidak ada kaitannya dengan peran Bank dalam perdagangan efek secara langsung. Namun, dapat kami jawab berdasarkan regulasi yang terkait, yaitu:

Peraturan Pemerintah Nomor 9 Tahun 2018 tentang Pasar Modal (""Peraturan No. 9/2018"")

Artikel 38 Peraturan No. 9/2018 menyebutkan bahwa Bank umum dapat menjadi:

a. Perantara perdagangan efek
b. Penjamin emisi
e. Pembeli efek

Oleh karena itu, jawaban yang tepat adalah:
a. Perantara perdagangan efek
b. Penjamin emisi
e. Pembeli efek

Di mana, Bank umum dapat menjadi perantara perdagangan efek atau berperan sebagai penjamin emisi, serta dapat membeli efek.",0
13,"18. Tempat bertemunya permintaan dan penawaran modal untuk jangka waktu yang panjang adalah, kecuali  ","a. Pasar modal 
b. Bursa efek
c. Pasar dana 
d. capital market
e. stock exchange",Jawaban : C ,"The correct answer to the question is:

a. Pasar modal

The reason for this answer is that the term ""tempat bertemunya permintaan dan penawaran modal untuk jangka waktu yang panjang"" or ""a place where long-term funding requests and offers meet"" refers to a capital market, which is often referred to as ""pasar modal"" in Indonesian. While options b, c, and d (Bursa efek, Pasar dana, and capital market) are all components or terms related to the capital market, they do not correctly translate to ""a place"" as requested in the question.",0
14,19. Berikut yang tidak termasuk perbedaan antara pasar perdana dan pasar sekunder adalah  ,"a. pada pasar perdana harga tidak berubah, sedangkan pada pasar sekunder harga ditentukan oleh mekanisme pasar
b. transaksi perdagangan di pasar sekunder tidak dikenakan biaya komisi, sedangkanpasar perdana terdapat biaya komisi
c. pada pasar perdana hanya terjadi pembelian saham sedangkan di pasar sekunder dapat terjadi jual beli saham
d. Dari sudut pandang jangka waktu, pasar perdana memiliki batas waktu, sedangkan pasar sekunder tidak
e. Di pasar sekunder semua transaksi harus melalui pialang sedangkan pada pasar perdana tidak demikian",Jawaban : B ,"Based on the provided context, the differences between the primary market and the secondary market include:

a. On the primary market, the price of securities can change, whereas on the secondary market, the price is determined by market mechanisms.

b. Transactions in the secondary market are subject to commission fees, while the primary market involves various costs, such as underwriting fees, but not necessarily a commission for each transaction.

c. Both the primary and secondary markets allow for buying and selling of securities. The primary market involves the initial sale of securities by the issuer to investors, while the secondary market consists of transactions between investors.

d. From a time perspective, the primary market has a limited duration tied to a specific securities issuance, while the secondary market operates continuously as a platform for trading existing securities.

e. In the secondary market, all transactions must go through brokers or securities companies, whereas in the primary market, issuers may not always be required to use brokers, depending on the type of offering and regulations.

The provided context is from various articles of the Indonesian Capital Market Law and its amendments, specifically: Pasal 21, Pasal 91, Pasal 92, Pasal 18, Pasal 19, Pasal 77, and Pasal 66 ayat (4) huruf c.",0
15,"20. Berikut istilah yang berarti perusahaan menerbitkan saham untuk pertama kali kepada masyarakat, kecuali  ","a. go public 
b. IPO
c. investasi modal
d. pasar perdana
e. primary market",Jawaban : C ,"Based on the provided context, the term that means a company issuing shares to the public for the first time is:

a. go public
b. IPO (Initial Public Offering)

These terms are not explicitly mentioned in the context, but they are general terms in the capital market that correspond to the described situation. The context discusses regulations related to Perusahaan Terbuka (public companies) and the process of share distribution to the public, which is consistent with the definition of ""go public"" and ""IPO"".",0
16,21. Bentuk perusahaan yang diperbolehkan untuk menerbitkan saham adalah  ,"a. perusahaan perorangan
b. firma 
c. CV 
d. perseroan terbatas
e. perusahaan daerah",Jawaban : D ,"Based on the provided context, the questions will be answered as follows:

1. What are the restrictions on share ownership in a company according to the regulations?

According to the 'Perlindungan Modal dan Kekayaan Perseroan' regulation, a company cannot own its own shares, with certain exceptions. Shares obtained through inheritance, gifts, or wills are not subject to this restriction (Article 37 (1)). Shares acquired through these means must be transferred to another party who is allowed to own shares within one year of acquisition (Article 37 (3)).

2. What are the requirements for a public company that issues shares with multiple voting rights in a public offering?

Based on the 'Perlindungan Modal dan Kekayaan Perseroan' regulation, a public company that issues shares with multiple voting rights in a public offering is not subject to the restriction on maintaining voting rights of more than 50% as long as they do not have preferential rights to purchase shares (Article 13 (2)).

3. What are the restrictions on share purchases in a public company that is listed on the Indonesia Stock Exchange?

According to the 'Perlindungan Modal dan Kekayaan Perseroan' regulation, a public company listed on the Indonesia Stock Exchange must designate a party to purchase shares that do not meet the trading unit requirements due to a share consolidation or split (Article 15 (1)). The purchase offer must be made within a specified time frame (Article 15 (2)).

4. What is the restriction on share ownership for a legal entity shareholder in a company?

Based on the provided context, there is no specific restriction on share ownership for a legal entity shareholder in a company. However, in the case of a public company, the company is required to disclose the list of shareholders and the number of shares they own, including legal entities (Lampiran Nomor: I-A.6).

5. What is the restriction on share ownership for a company that has just completed an initial public offering?

According to the 'Perlindungan Modal dan Kekayaan Perseroan' regulation, a company that has just completed an initial public offering is subject to a 24-month lock-up period during which shareholders are not allowed to sell their shares (Pasal 13 (1)). This restriction can be waived for the purpose of improving the company's financial position (Pasal 14 (1)).",0
