,q,ch,a,answer_mcq,score,score_by_ai,
0,"Apa yang dimaksud dengan ""Efek"" dalam regulasi Otoritas Jasa Keuangan?","A) Dokumen keuangan apa pun
B) Pernyataan tertulis terkait penawaran umum
C) Unit kontrak investasi kolektif
D) Bentuk pengakuan utang",C) Unit kontrak investasi kolektif,"D) Bentuk pengakuan utang, surat berharga komersial, saham, obligasi, tanda bukti utang, unit penyertaan kontrak investasi kolektif, kontrak berjangka atas Efek, dan setiap derivatif dari Efek.

Sesuai dengan Peraturan Otoritas Jasa Keuangan mengenai Pelaporan Transaksi Efek (Peraturan OJK Nomor 32/POJK.04/2015) dalam Pasal 1 ayat (1), kita dapat mengetahui bahwa istilah ""Efek"" mencakup berbagai macam bentuk surat berharga, seperti surat pengakuan utang, surat berharga komersial, saham, obligasi, tanda bukti utang, unit penyertaan kontrak investasi kolektif, kontrak berjangka atas Efek, dan setiap derivatif dari Efek. Oleh karena itu, jawaban yang benar adalah D) Bentuk pengakuan utang.",0,0,0.36
1,Apa yang dilarang dalam promosi pemasaran Efek menurut Pasal 2?,"A) Mengungkapkan risiko investasi
B) Memberikan gambaran yang menyesatkan
C) Memuat informasi benar
D) Hanya mempromosikan Prospektus",B) Memberikan gambaran yang menyesatkan,"Pasal 2 yang Anda minta tidak terkait dengan promosi pemasaran Efek, melainkan dengan Penawaran Umum Efek. Dalam Pasal 5 dan Pasal 3 yang terdapat dalam context ini yang lebih relevan dengan promosi pemasaran Efek.

Pasal 5 melarang untuk tidak mengungkapkan dengan jelas pendapat, proyeksi, atau ramalan mengenai Efek tertentu. Hal ini wajib diungkapkan secara jelas.

Pasal 3 memerlukan adanya informasi bahwa Efek tertentu yang dipromosikan hanya cocok untuk kelompok pemodal tertentu dan mengungkapkan risiko yang berhubungan dengan investasi atas Efek tertentu.

Oleh karena itu, jawabannya adalah:
B) Memberikan gambaran yang menyesatkan

Karena Pasal 5 melarang untuk memberikan gambaran yang tidak jelas atau menyesatkan mengenai Efek tertentu dalam promosi pemasaran.",1,1,0.76
2,Apa yang wajib dimuat dalam promosi pemasaran Efek menurut Pasal 3?,"A) Informasi bahwa Efek hanya cocok untuk kelompok pemodal tertentu
B) Harga pasar saat promosi dibuat
C) Nama Pihak yang memberikan rekomendasi
D) Keterangan tentang perdagangan Efek tersebut",A) Informasi bahwa Efek hanya cocok untuk kelompok pemodal tertentu,"Sebagai ahli perundangan pasar modal di Indonesia, dari konteks yang Anda berikan, yaitu Pasal 3 dari aturan tersebut, yang dapat disimpulkan adalah:

A) Informasi bahwa Efek hanya cocok untuk kelompok pemodal tertentu

Hal ini dapat dilihat pada Pasal 3, yang menyatakan bahwa dalam promosi pemasaran Efek, wajib memuat informasi bahwa Efek tertentu yang dipromosikan hanya cocok untuk kelompok pemodal tertentu. Oleh sebab itu, opsi lainnya (harga pasar saat promosi dibuat, nama Pihak yang memberikan rekomendasi, dan keterangan tentang perdagangan Efek tersebut) tidak relevan dengan Pasal 3.",1,1,
3,Apa yang diwajibkan oleh Pasal 5 dalam hal promosi pemasaran Efek?,"A) Mengungkapkan risiko investasi
B) Memuat pendapat, proyeksi, atau ramalan secara jelas
C) Hanya mencantumkan informasi yang positif
D) Tidak memperbolehkan promosi pemasaran Efek","B) Memuat pendapat, proyeksi, atau ramalan secara jelas","Berdasarkan informasi yang Anda berikan, Pasal 5 yang relevan dengan promosi pemasaran Efek menyatakan bahwa jika terdapat pendapat, proyeksi, atau ramalan mengenai Efek tertentu dalam promosi pemasaran, maka harus diterangkan secara jelas. Oleh karena itu, jawabannya adalah:

B) Memuat pendapat, proyeksi, atau ramalan secara jelas

Hal ini disebutkan dalam konteks berikut:

""Pasal 5 Dalam hal promosi pemasaran Efek memuat pendapat, proyeksi, atau ramalan mengenai Efek tertentu, pendapat, proyeksi, atau ramalan mengenai Efek tertentu tersebut wajib diungkapkan secara jelas.""

Jadi, Pasal 5 tidak melarang promosi pemasaran Efek, dan juga tidak mengharuskan untuk hanya mencantumkan informasi yang positif. Selain itu, Pasal 5 tidak langsung menyatakan apa yang diwajibkan mengenai mengungkapkan risiko investasi, meskipun Pasal 3 Pasal 4 menyatakan bahwa promosi pemasaran Efek wajib mengungkapkan risiko yang berhubungan dengan investasi atas Efek tertentu.",1,0,
4,Apa yang harus dimuat dalam promosi pemasaran Efek menurut Pasal 6 dalam rangka Penawaran Umum?,"A) Informasi tentang promosi pemasaran Efek
B) Prospektus atau kesempatan untuk membaca Prospektus
C) Nominal nilai Efek
D) Pernyataan Pendaftaran",B) Prospektus atau kesempatan untuk membaca Prospektus,"Pasal 6 dalam rangka Penawaran Umum menetapkan bahwa dalam promosi pemasaran Efek, wajib memuat informasi bahwa pemodal hanya dapat melakukan pemesanan pembelian Efek setelah memperoleh Prospektus atau memperoleh kesempatan untuk membaca Prospektus, dan setelah Pernyataan Pendaftaran efektif. Jadi, jawabannya adalah B) Prospektus atau kesempatan untuk membaca Prospektus.",1,1,
5,Apa yang dapat dilakukan oleh Otoritas Jasa Keuangan terkait pengenaan sanksi administratif menurut Pasal 9?,"A) Dapat mengumumkan kepada masyarakat
B) Hanya memberikan peringatan tertulis
C) Melakukan tindakan tertentu kepada Pihak yang melanggar
D) Menunda pengenaan sanksi",A) Dapat mengumumkan kepada masyarakat,"Jawab: C) Melakukan tindakan tertentu kepada Pihak yang melanggar

Keterangan: Pasal 9 Peraturan Otoritas Jasa Keuangan menyatakan bahwa Otoritas Jasa Keuangan berwenang mengenakan sanksi administratif terhadap pihak yang melakukan pelanggaran ketentuan Peraturan Otoritas Jasa Keuangan. Beberapa contoh sanksi administratif adalah peringatan tertulis, denda, pembatasan atau pembekuan kegiatan usaha, pencabutan izin usaha, pembatalan persetujuan, dan pembatalan pendaftaran. Otoritas Jasa Keuangan dapat melakukan tindakan tertentu terhadap pihak yang melakukan pelanggaran, seperti yang dimaksud pada Pasal 10. Hal ini dapat meliputi pemberian sanksi administratif maupun tindakan lain yang dianggap perlu.",0,0,
6,Kapan Peraturan Otoritas Jasa Keuangan ini mulai berlaku?,"A) Setelah diumumkan kepada masyarakat
B) Tanggal diundangkan
C) Setelah Keputusan Ketua Badan Pengawas Pasar Modal dicabut
D) Pada saat Peraturan ini disetujui oleh masyarakat",B) Tanggal diundangkan,"Jawab: B) Tanggal diundangkan

Dasar: Pasal 32 Peraturan Otoritas Jasa Keuangan yang merupakan lampiran yang dicabut dan dinyatakan tidak berlaku, menyatakan bahwa peraturan tersebut mulai berlaku pada tanggal diundangkan.",1,0,
7,"Apa yang dimaksud dengan ""Perusahaan Terbuka"" menurut Pasal 1?","A) Perusahaan yang hanya melayani umum
B) Emiten yang melakukan penawaran umum efek bersifat ekuitas atau perusahaan publik
C) Organisasi non-profit
D) Perusahaan yang tidak terdaftar di bursa saham",B) Emiten yang melakukan penawaran umum efek bersifat ekuitas atau perusahaan publik,"Berdasarkan informasi yang Anda berikan, yaitu dari beberapa regulasi di Otoritas Jasa Keuangan (OJK), khususnya Pasal 1 dari beberapa peraturan tersebut, maka ""Perusahaan Terbuka"" didefinisikan sebagai:

1. Perusahaan Terbuka adalah emiten yang telah melakukan penawaran umum efek bersifat ekuitas atau perusahaan publik. (Dasar undang-undang nomor 8 tahun 1995 tentang Pasar Modal, Lembaran Negara Republik Indonesia tahun 1995 nomor 64, Tambahan Lembaran Negara Republik Indonesia nomor 3608; Peraturan Otoritas Jasa Keuangan tentang Pengambilalihan Perusahaan Terbuka, Lembaran Negara Republik Indonesia tahun 2011 nomor 111, Tambahan Lembaran Negara Republik Indonesia nomor 5253; Peraturan Otoritas Jasa Keuangan tentang Laporan Kepemilikan atau Setiap Perubahan Kepemilikan Saham Perusahaan Terbuka, Lembaran Negara Republik Indonesia tahun 2011 nomor 111, Tambahan Lembaran Negara Republik Indonesia nomor 5253; Peraturan Otoritas Jasa Keuangan tentang Pemecahan Saham dan Penggabungan Saham Oleh Perusahaan Terbuka, Lembaran Negara Republik Indonesia tahun 2011 nomor 111, Tambahan Lembaran Negara Republik Indonesia nomor 5253; Peraturan Otoritas Jasa Keuangan tentang Rencana dan Penyelenggaraan Rapat Umum Pemegang Saham Perusahaan Terbuka, Lembaran Negara Republik Indonesia tahun 2011 nomor 111, Tambahan Lembaran Negara Republik Indonesia nomor 5253).

Jadi, opsi yang paling tepat adalah:
B) Emiten yang melakukan penawaran umum efek bersifat ekuitas atau perusahaan publik.",1,1,
8,Siapa yang memiliki wewenang yang tidak diberikan kepada direksi atau dewan komisaris dalam Perusahaan Terbuka?,"A) Pemegang Saham Independen
B) Penerima Kuasa
C) Pengguna e-RUPS
D) Rapat Umum Pemegang Saham (RUPS)",D) Rapat Umum Pemegang Saham (RUPS),"Jawab: D) Rapat Umum Pemegang Saham (RUPS)

Keterangan: Dalam Peraturan Otoritas Jasa Keuangan No. 35/POJK.04/2014 tentang Laporan Kepemilikan atau Setiap Perubahan Kepemilikan Saham Perusahaan Terbuka, belum ada bentuk wewenang yang ditetapkan secara langsung untuk Pemegang Saham Independen, Penerima Kuasa, atau Pengguna e-RUPS. Namun, Rapat Umum Pemegang Saham (RUPS) memiliki wewenang tertentu dalam mengawasi dan mengatur beberapa hal dalam Perusahaan Terbuka sesuai dengan Pasal 71 ayat (1) dari Peraturan Otoritas Jasa Keuangan No. 33/POJK.04/2014 tentang Penanaman Modal Berjangka dan Perusahaan Terbuka. Di sini, RUPS memiliki wewenang untuk menentukan kebijakan umum dan strategi perusahaan, memeriksa laporan keuangan, dan memilih dan mengganti anggota Direksi dan Dewan Komisaris.",1,0,
9,Kapan Perusahaan Terbuka wajib menyelenggarakan RUPS Tahunan menurut Pasal 2 ayat (2)?,"A) Paling lambat 1 bulan setelah tahun buku berakhir
B) Paling lambat 3 bulan setelah tahun buku berakhir
C) Paling lambat 6 bulan setelah tahun buku berakhir
D) Paling lambat 9 bulan setelah tahun buku berakhir",C) Paling lambat 6 bulan setelah tahun buku berakhir,Perusahaan Terbuka wajib menyelenggara RUPS Tahunan paling lambat 6 (enam) bulan setelah tahun buku berakhir. (Pasal 2 ayat (2) dari RUPS),1,0,
